iteration,state,rewards,count
2598,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",11
2602,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",4
2619,[0 2 1 0 0 1 0 0],"{0: '5.0', 1: '5.0'}",17
2640,[0 0 1 2 1 0 0 2],"{0: '2.5', 1: '2.5'}",21
2651,[0 2 1 2 1 0 0 1],"{0: '1.25', 1: '1.25'}",11
2674,[0 2 1 1 0 0 2 1],"{0: '1.25', 1: '1.25'}",23
2684,[1 0 1 0 0 0 0 2],"{0: '5.0', 1: '5.0'}",10
2685,[1 0 1 0 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
2692,[0 1 1 0 1 1 0 0],"{0: '5.0', 1: '5.0'}",7
2711,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",19
2726,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",15
2730,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",4
2731,[1 0 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
2763,[0 0 1 0 0 2 2 2],"{0: '1.25', 1: '1.25'}",32
2769,[0 1 1 0 0 1 0 1],"{0: '5.0', 1: '5.0'}",6
2782,[2 2 1 0 0 0 0 0],"{0: '3.75', 1: '3.75'}",13
2783,[0 0 1 0 0 0 2 0],"{0: '7.25', 1: '6.25'}",1
2833,[0 1 1 0 1 1 0 0],"{0: '5.0', 1: '5.0'}",50
2869,[0 0 1 0 2 1 0 1],"{0: '3.75', 1: '3.75'}",36
2898,[0 2 1 1 0 0 0 1],"{0: '3.75', 1: '3.75'}",29
2918,[0 2 1 1 0 0 0 2],"{0: '2.5', 1: '2.5'}",20
2923,[0 0 1 0 2 2 0 0],"{0: '3.75', 1: '3.75'}",5
2936,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",13
2951,[0 2 1 1 2 0 0 1],"{0: '1.25', 1: '1.25'}",15
2954,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",3
2990,[1 0 1 2 0 1 0 1],"{0: '2.5', 1: '2.5'}",36
2998,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",8
3055,[0 1 1 2 0 1 2 1],"{0: '0.0', 1: '0.0'}",57
3068,[0 0 1 0 0 0 2 1],"{0: '5.0', 1: '5.0'}",13
3071,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",3
3104,[0 2 1 2 1 2 1 0],"{0: '-1.25', 1: '-1.25'}",33
3111,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",7
3118,[2 0 1 1 0 1 0 0],"{0: '3.75', 1: '3.75'}",7
3123,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",5
3153,[0 2 1 2 1 0 0 0],"{0: '2.5', 1: '2.5'}",30
3170,[1 0 1 2 0 2 2 0],"{0: '0.0', 1: '0.0'}",17
3196,[0 0 1 2 2 0 0 0],"{0: '3.75', 1: '3.75'}",26
3246,[0 2 2 1 1 2 0 2],"{0: '-2.5', 1: '-2.5'}",50
3252,[1 0 1 2 0 0 0 0],"{0: '5.0', 1: '5.0'}",6
3279,[0 1 1 1 0 0 1 0],"{0: '5.0', 1: '5.0'}",27
3297,[0 0 1 0 2 2 0 0],"{0: '3.75', 1: '3.75'}",18
3305,[0 0 1 0 1 2 0 0],"{0: '5.0', 1: '5.0'}",8
3321,[2 2 1 0 2 0 0 2],"{0: '-1.25', 1: '-1.25'}",16
3329,[0 0 1 0 1 2 0 0],"{0: '5.0', 1: '5.0'}",8
3452,[1 2 1 0 2 2 2 1],"{0: '-3.75', 1: '-3.75'}",123
3466,[2 0 1 0 2 0 0 2],"{0: '1.25', 1: '1.25'}",14
3499,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",33
3516,[0 2 1 0 0 2 0 0],"{0: '3.75', 1: '3.75'}",17
3522,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",6
3579,[0 1 1 1 1 2 1 1],"{0: '0.0', 1: '0.0'}",57
3585,[1 0 1 2 0 0 1 0],"{0: '3.75', 1: '3.75'}",6
3593,[2 0 1 0 0 1 0 0],"{0: '5.0', 1: '5.0'}",8
3603,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",10
3608,[0 0 1 0 0 0 2 2],"{0: '3.75', 1: '3.75'}",5
3616,[0 0 1 0 2 2 0 0],"{0: '3.75', 1: '3.75'}",8
3626,[1 0 1 1 0 0 0 0],"{0: '6.25', 1: '6.25'}",10
3643,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",17
3653,[0 0 1 0 1 2 0 0],"{0: '5.0', 1: '5.0'}",10
3667,[0 0 1 0 0 1 1 0],"{0: '6.25', 1: '6.25'}",14
3704,[0 1 1 0 2 0 2 0],"{0: '2.5', 1: '2.5'}",37
3752,[0 1 1 2 0 1 1 1],"{0: '1.25', 1: '1.25'}",48
3754,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",2
3764,[1 2 1 0 0 0 0 0],"{0: '5.0', 1: '5.0'}",10
3775,[2 1 1 0 0 0 2 2],"{0: '0.0', 1: '0.0'}",11
3788,[0 1 1 1 0 0 0 0],"{0: '6.25', 1: '6.25'}",13
3800,[0 2 1 2 0 2 0 0],"{0: '1.25', 1: '1.25'}",12
3814,[2 1 1 0 0 0 1 0],"{0: '3.75', 1: '3.75'}",14
3819,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",5
3823,[2 0 1 2 0 0 1 0],"{0: '2.5', 1: '2.5'}",4
3884,[0 1 1 1 1 0 0 2],"{0: '2.5', 1: '2.5'}",61
3888,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",4
3894,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",6
3909,[0 0 1 2 2 0 0 0],"{0: '3.75', 1: '3.75'}",15
3910,[0 0 1 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
3919,[0 0 1 0 2 1 0 0],"{0: '5.0', 1: '5.0'}",9
3937,[0 0 1 0 1 1 0 2],"{0: '3.75', 1: '3.75'}",18
3947,[2 0 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",10
3950,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",3
3958,[0 0 1 0 1 1 0 0],"{0: '6.25', 1: '6.25'}",8
3974,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",16
3995,[2 0 1 0 0 0 0 1],"{0: '5.0', 1: '5.0'}",21
4002,[1 0 1 0 1 0 0 0],"{0: '6.25', 1: '6.25'}",7
4031,[2 0 1 0 1 2 1 2],"{0: '-1.25', 1: '-1.25'}",29
4078,[0 2 1 0 0 2 0 0],"{0: '3.75', 1: '3.75'}",47
4090,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",12
4108,[0 0 1 0 0 0 1 1],"{0: '6.25', 1: '6.25'}",18
4124,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",16
4136,[2 0 1 0 1 0 0 0],"{0: '5.0', 1: '5.0'}",12
4137,[1 0 1 0 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
4152,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",15
4157,[2 1 1 0 1 0 0 0],"{0: '3.75', 1: '3.75'}",5
4160,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",3
4161,[0 0 1 0 0 0 2 0],"{0: '7.25', 1: '6.25'}",1
4170,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",9
4179,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",9
4201,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",22
4228,[0 2 1 1 0 0 2 1],"{0: '1.25', 1: '1.25'}",27
4241,[2 1 1 0 0 0 1 0],"{0: '3.75', 1: '3.75'}",13
4248,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",7
4249,[0 0 1 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
4297,[2 0 1 0 1 1 1 1],"{0: '1.25', 1: '1.25'}",48
4308,[1 0 1 1 0 0 0 0],"{0: '6.25', 1: '6.25'}",11
4328,[2 1 1 0 2 0 0 0],"{0: '2.5', 1: '2.5'}",20
4351,[2 0 1 1 0 0 0 2],"{0: '2.5', 1: '2.5'}",23
4369,[0 0 1 2 2 0 0 0],"{0: '3.75', 1: '3.75'}",18
4373,[1 2 1 0 0 0 0 0],"{0: '5.0', 1: '5.0'}",4
4380,[2 0 1 0 2 0 0 0],"{0: '3.75', 1: '3.75'}",7
4381,[2 0 1 0 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
4405,[2 0 2 0 1 0 0 0],"{0: '3.75', 1: '3.75'}",24
4406,[0 0 1 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
4412,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",6
4415,[0 0 1 1 1 0 0 0],"{0: '6.25', 1: '6.25'}",3
4433,[1 0 1 0 0 1 2 0],"{0: '3.75', 1: '3.75'}",18
4444,[0 0 1 0 1 1 0 0],"{0: '6.25', 1: '6.25'}",11
4553,[0 1 1 2 0 1 1 1],"{0: '1.25', 1: '1.25'}",109
4581,[1 0 1 0 2 0 0 1],"{0: '3.75', 1: '3.75'}",28
4585,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
4602,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",17
4604,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",2
4627,[1 0 1 0 0 2 0 1],"{0: '3.75', 1: '3.75'}",23
4636,[0 2 1 0 2 0 2 0],"{0: '1.25', 1: '1.25'}",9
4662,[0 1 1 1 0 0 0 0],"{0: '6.25', 1: '6.25'}",26
4666,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
4668,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",2
4692,[1 0 1 2 1 0 0 1],"{0: '2.5', 1: '2.5'}",24
4698,[1 0 1 0 0 0 0 2],"{0: '5.0', 1: '5.0'}",6
4745,[2 0 1 1 0 1 0 0],"{0: '3.75', 1: '3.75'}",47
4769,[1 0 1 1 1 2 0 2],"{0: '0.0', 1: '0.0'}",24
4775,[2 1 1 0 0 0 0 0],"{0: '5.0', 1: '5.0'}",6
4785,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",10
4794,[0 0 1 2 2 0 0 0],"{0: '3.75', 1: '3.75'}",9
4796,[0 0 1 0 1 1 0 0],"{0: '6.25', 1: '6.25'}",2
4842,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",46
4852,[1 0 1 0 2 0 0 0],"{0: '5.0', 1: '5.0'}",10
4857,[0 0 2 0 0 0 0 2],"{0: '5.0', 1: '5.0'}",5
4860,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",3
4863,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
4896,[1 1 1 1 0 1 0 0],"{0: '3.75', 1: '3.75'}",33
4902,[0 2 1 1 0 0 0 0],"{0: '5.0', 1: '5.0'}",6
4904,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",2
4924,[1 0 1 0 0 1 0 2],"{0: '3.75', 1: '3.75'}",20
4934,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",10
4984,[2 1 1 0 2 0 0 1],"{0: '1.25', 1: '1.25'}",50
