iteration,state,rewards,count
2999,[1 0 1 1 0 1 0 0 0 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",21
3014,[1 0 0 0 0 0 1 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",15
3031,[0 0 1 0 0 0 0 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",17
3040,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",9
3060,[1 1 1 0 0 0 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",20
3079,[1 0 0 1 0 1 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",19
3106,[0 1 1 0 0 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",27
3111,[0 0 0 1 1 0 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",5
3124,[0 0 0 0 1 0 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",13
3132,[0 0 0 1 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",8
3141,[0 0 0 1 0 0 0 0 0 1 1 0],"{0: '7.5', 1: '7.5'}",9
3154,[0 0 1 0 0 0 0 0 1 1 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
3204,[0 0 1 0 0 0 0 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",50
3216,[0 1 1 0 0 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",12
3237,[0 0 0 0 1 0 1 0 1 1 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",21
3244,[0 0 1 0 0 0 1 0 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",7
3268,[0 0 0 1 0 0 0 1 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",24
3298,[0 0 0 0 0 0 1 1 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",30
3318,[0 1 0 0 0 0 0 0 1 1 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",20
3344,[0 0 0 1 0 0 0 1 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",26
3347,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
3351,[0 0 1 0 0 1 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
3362,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",11
3371,[0 0 0 0 0 0 0 0 1 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",9
3383,[1 0 0 0 0 0 0 0 0 0 1 1],"{0: '7.5', 1: '7.5'}",12
3404,[0 0 1 1 0 1 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",21
3421,[0 0 1 1 0 1 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",17
3429,[1 0 0 0 0 0 1 0 0 1 1 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",8
3475,[1 0 0 0 0 0 1 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",46
3498,[0 1 0 0 0 0 1 1 0 1 1 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",23
3504,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",6
3528,[1 0 0 0 1 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",24
3541,[0 0 0 0 1 0 1 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",13
3558,[0 0 0 1 1 0 0 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",17
3570,[0 0 0 0 0 0 1 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",12
3584,[0 0 0 0 0 0 0 0 0 1 1 1],"{0: '7.510471204188482', 1: '7.5'}",14
3604,[1 0 0 0 0 1 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",20
3612,[0 1 1 0 0 0 0 1 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",8
3645,[0 0 0 0 0 1 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",33
3685,[0 0 0 0 1 0 1 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",40
3695,[0 0 1 1 1 0 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",10
3707,[0 0 1 0 0 1 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",12
3742,[0 0 1 0 1 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",35
3746,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",4
3776,[0 0 1 0 0 0 1 0 1 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",30
3808,[0 0 0 0 1 0 1 0 1 1 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",32
3815,[1 0 0 0 0 0 1 0 1 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",7
3825,[1 0 0 0 1 0 1 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",10
3835,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",10
3841,[1 0 0 0 1 0 1 0 0 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",6
3844,[0 0 0 0 1 0 0 0 0 0 1 1],"{0: '7.510471204188482', 1: '7.5'}",3
3850,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.5', 1: '7.5'}",6
3865,[0 0 0 0 0 1 0 1 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",15
3876,[0 0 0 0 0 0 0 1 1 0 1 0],"{0: '7.5', 1: '7.5'}",11
3883,[1 0 0 0 0 0 0 1 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",7
3896,[0 0 0 0 1 0 0 0 0 1 1 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",13
3910,[0 1 0 1 0 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",14
3922,[0 1 1 0 0 1 1 0 0 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",12
3949,[0 0 0 0 1 1 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",27
3964,[1 0 1 1 0 0 0 0 1 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",15
3974,[1 0 0 0 0 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",10
3987,[1 0 0 0 0 0 0 1 0 0 1 0],"{0: '7.5', 1: '7.5'}",13
