iteration,state,rewards,count
1473,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1505,[0 0 0 0 1 2 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",32
1509,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",4
1511,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1515,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1517,[0 0 0 2 0 0 2 1],"{0: '5.925584255842559', 1: '5.833333333333334'}",2
1520,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
1534,[0 0 0 2 0 2 2 2],"{0: '3.348093480934809', 1: '3.333333333333333'}",14
1540,[2 0 1 0 0 2 2 0],"{0: '4.181426814268143', 1: '4.166666666666667'}",6
1544,[0 2 2 0 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",4
1549,[2 0 0 0 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",5
1552,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",3
1558,[0 0 0 0 2 0 1 0],"{0: '7.514760147601476', 1: '7.5'}",6
1569,[2 0 0 0 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",11
1584,[0 0 2 0 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",15
1589,[0 0 0 2 1 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",5
1595,[0 0 0 0 0 2 2 2],"{0: '5.014760147601476', 1: '5.0'}",6
1613,[0 0 0 1 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",18
1620,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",7
1621,[0 0 0 0 0 1 2 0],"{0: '8.5', 1: '7.5'}",1
1623,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1635,[0 1 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",12
1645,[0 2 0 0 2 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",10
1661,[0 0 1 2 0 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",16
1666,[0 2 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",5
1677,[2 0 0 0 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",11
1703,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",26
1708,[1 0 0 0 0 0 2 0],"{0: '7.514760147601476', 1: '7.5'}",5
1722,[2 0 0 0 0 0 2 1],"{0: '5.84809348093481', 1: '5.833333333333334'}",14
1724,[0 0 0 2 0 0 2 2],"{0: '5.014760147601476', 1: '5.0'}",2
1734,[0 0 0 0 1 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",10
1736,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1743,[2 0 0 0 0 2 2 0],"{0: '5.014760147601476', 1: '5.0'}",7
1748,[1 0 0 0 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",5
1771,[0 0 0 0 0 0 2 1],"{0: '7.514760147601476', 1: '7.5'}",23
1795,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",24
1807,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",12
1809,[0 0 0 0 0 1 2 0],"{0: '7.592250922509225', 1: '7.5'}",2
1835,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",26
1842,[0 0 0 0 0 0 2 1],"{0: '7.592250922509225', 1: '7.5'}",7
1855,[0 0 0 0 0 2 1 0],"{0: '7.514760147601476', 1: '7.5'}",13
1860,[0 0 0 1 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",5
1863,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",3
1867,[1 0 0 0 0 0 2 0],"{0: '7.592250922509225', 1: '7.5'}",4
1887,[0 0 0 2 0 1 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",20
1895,[0 0 0 1 0 2 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",8
1902,[0 1 0 0 0 0 2 0],"{0: '7.514760147601476', 1: '7.5'}",7
